year,origin,destination,submissions
2012,Sudan,Sweden,129
2012,Bhutan,Australia,780
2012,Somalia,UK,350
2012,Sudan,Spain,2
2012,Eritrea,UK,18
2012,Iraq,UK,86
2012,Afghanistan,Norway,74
2012,Dem. Rep. of the Congo,Finland,180
2012,Somalia,USA,4456
2012,Iraq,Finland,38
2012,Syrian Arab Rep.,Sweden,56
2012,Myanmar,Japan,27
2012,Syrian Arab Rep.,New Zealand,1
2012,Dem. Rep. of the Congo,Sweden,54
2012,Afghanistan,France,59
2012,Sudan,Portugal,19
2012,Bhutan,Denmark,147
2012,Somalia,Portugal,3
2012,Sudan,Switzerland,1
2012,Eritrea,Denmark,60
2012,Syrian Arab Rep.,USA,16
2012,Dem. Rep. of the Congo,Denmark,12
2012,Eritrea,Spain,4
2012,Somalia,Canada,1246
2012,Syrian Arab Rep.,Switzerland,1
2012,Syrian Arab Rep.,Canada,11
2012,Somalia,France,28
2012,Dem. Rep. of the Congo,Germany,1
2012,Eritrea,USA,768
2012,Afghanistan,Iceland,25
2012,Sudan,Norway,27
2012,Bhutan,UK,101
2012,Dem. Rep. of the Congo,France,1
2012,Afghanistan,Portugal,1
2012,Eritrea,Portugal,2
2012,Dem. Rep. of the Congo,Netherlands,45
2012,Sudan,Denmark,5
2012,Eritrea,France,2
2012,Myanmar,Australia,1949
2012,Somalia,New Zealand,24
2012,Bhutan,USA,8241
2013,Syrian Arab Rep.,France,72
2013,Afghanistan,Brazil,1
2013,Bhutan,Canada,619
2013,Somalia,Sweden,373
2013,Somalia,Australia,37
2013,Myanmar,UK,2
2013,Somalia,UK,159
2013,Sudan,Netherlands,10
2013,Sudan,Denmark,38
2013,Syrian Arab Rep.,Sweden,424
2013,Somalia,Portugal,3
2013,Dem. Rep. of the Congo,Denmark,165
2013,Myanmar,Sweden,45
2013,Eritrea,Sweden,491
2013,Myanmar,USA,20586
2013,Syrian Arab Rep.,UK,1
2013,Syrian Arab Rep.,Luxembourg,25
2013,Eritrea,France,23
2013,Bhutan,New Zealand,122
