year,origin,destination,total
2013,Sudan,Norway,10
2013,Eritrea,Norway,37
2013,Iraq,Switzerland,57
2013,Iran (Islamic Rep. of),Sweden,8
2013,Dem. Rep. of the Congo,UK,199
2013,Dem. Rep. of the Congo,Canada,675
2013,Dem. Rep. of the Congo,Norway,199
2013,Myanmar,Sweden,31
2013,Sudan,Switzerland,1
2013,Eritrea,Canada,166
2013,Syrian Arab Rep.,Australia,2
2013,Syrian Arab Rep.,USA,40
2013,Afghanistan,Denmark,1
2013,Iraq,Australia,3404
2013,Sudan,USA,1732
2013,Sudan,France,5
2013,Somalia,Denmark,66
2013,Somalia,Netherlands,2
2013,Iran (Islamic Rep. of),Norway,118
2013,Somalia,Finland,43
2013,Dem. Rep. of the Congo,Belgium,65
2013,Bhutan,USA,8928
2013,Myanmar,USA,13911
2013,Iran (Islamic Rep. of),Finland,83
2013,Eritrea,Australia,195
2013,Dem. Rep. of the Congo,France,7
2013,Syrian Arab Rep.,Canada,7
2013,Afghanistan,Belgium,1
2013,Iraq,New Zealand,96
2013,Sudan,UK,125
2013,Syrian Arab Rep.,Germany,804
2013,Somalia,Norway,198
2013,Dem. Rep. of the Congo,Ireland,24
2013,Syrian Arab Rep.,Sweden,345
2013,Dem. Rep. of the Congo,Sweden,200
2013,Bhutan,Australia,907
2013,Afghanistan,Sweden,206
2013,Iran (Islamic Rep. of),UK,5
2013,Eritrea,UK,4
2013,Somalia,UK,258
2013,Somalia,Sweden,352
2013,Iran (Islamic Rep. of),Denmark,1
2013,Afghanistan,Finland,262
2013,Sudan,Australia,61
2013,Syrian Arab Rep.,Switzerland,2
2013,Somalia,Portugal,1
2013,Myanmar,Japan,18
2013,Eritrea,France,8
2013,Iran (Islamic Rep. of),USA,1161
2013,Bhutan,Canada,476
2013,Afghanistan,Australia,2713
2013,Iran (Islamic Rep. of),Portugal,2
2013,Eritrea,Sweden,361
2013,Somalia,New Zealand,6
2013,Somalia,Australia,373
2013,Dem. Rep. of the Congo,Netherlands,83
2013,Afghanistan,Norway,250
2013,Sudan,Sweden,54
2013,Syrian Arab Rep.,Norway,2
2013,Sudan,Netherlands,6
2013,Myanmar,Finland,105
2013,Myanmar,Netherlands,30
2013,Iraq,UK,33
2013,Dem. Rep. of the Congo,Australia,557
2013,Bhutan,New Zealand,146
2013,Myanmar,Australia,2136
2013,Iraq,Germany,170
2013,Iraq,USA,9171
2013,Somalia,Ireland,3
2013,Somalia,France,5
2013,Dem. Rep. of the Congo,Finland,50
2013,Afghanistan,France,27
2013,Sudan,Denmark,5
2013,Syrian Arab Rep.,Denmark,1
2013,Afghanistan,New Zealand,24
2013,Iran (Islamic Rep. of),Belgium,1
2013,Myanmar,Norway,15
2013,Iraq,Netherlands,31
2013,Sudan,Canada,25
2013,Bhutan,Denmark,106
2013,Myanmar,Canada,203
2013,Afghanistan,Austria,4
2013,Iraq,Canada,995
2013,Iran (Islamic Rep. of),Canada,625
2013,Eritrea,Denmark,9
2013,Eritrea,New Zealand,16
2013,Afghanistan,Netherlands,2
2013,Sudan,Portugal,3
2013,Myanmar,New Zealand,235
2014,Syrian Arab Rep.,Canada,326
2014,Iran (Islamic Rep. of),Norway,8
2014,Somalia,Austria,24
2014,Bhutan,New Zealand,77
2014,Somalia,New Zealand,16
2014,Bhutan,Norway,6
2014,Dem. Rep. of the Congo,Denmark,126
2014,Eritrea,UK,3
2014,Dem. Rep. of the Congo,France,13
2014,Eritrea,Austria,2
2014,Sudan,Germany,2
2014,Sudan,Denmark,29
2014,Syrian Arab Rep.,Hungary,4
2014,Sudan,Sweden,43
2014,Somalia,Finland,25
2014,Afghanistan,New Zealand,98
2014,Syrian Arab Rep.,Spain,30
2014,Iran (Islamic Rep. of),Belgium,1
2014,Somalia,France,11
2014,Somalia,Germany,32
2014,Sudan,France,1
2014,Dem. Rep. of the Congo,Finland,203
2014,Somalia,UK,226
2014,Iran (Islamic Rep. of),New Zealand,9
2014,Sudan,Finland,1
2014,Dem. Rep. of the Congo,Ireland,8
2014,Sudan,Canada,94
2014,Syrian Arab Rep.,Iceland,1
2014,Syrian Arab Rep.,USA,226
2014,Afghanistan,Germany,16
2014,Syrian Arab Rep.,Ireland,90
2014,Iraq,Romania,40
2014,Eritrea,Australia,151
2014,Afghanistan,Sweden,465
2014,Eritrea,Finland,2
2014,Dem. Rep. of the Congo,Australia,208
2014,Sudan,Australia,1
2014,Iran (Islamic Rep. of),Netherlands,11
2014,Afghanistan,USA,633
2014,Iraq,UK,10
2014,Myanmar,Japan,23
2014,Iran (Islamic Rep. of),USA,1062
2014,Sudan,New Zealand,4
2014,Syrian Arab Rep.,Sweden,420
2014,Dem. Rep. of the Congo,Portugal,2
2014,Syrian Arab Rep.,France,256
2014,Iran (Islamic Rep. of),Australia,309
2014,Syrian Arab Rep.,Netherlands,254
2014,Iraq,Mexico,1
2014,Eritrea,France,8
2014,Afghanistan,Finland,234
2014,Iraq,Germany,133
2014,Afghanistan,France,37
2014,Iraq,France,2
2014,Somalia,USA,8652
2014,Afghanistan,Australia,1506
2014,Iraq,Netherlands,50
2014,Myanmar,UK,2
2014,Eritrea,Canada,413
2014,Myanmar,Netherlands,2
2014,Iran (Islamic Rep. of),Canada,1040
2014,Iran (Islamic Rep. of),Portugal,2
2014,Syrian Arab Rep.,UK,132
2014,Iraq,Australia,1049
2014,Syrian Arab Rep.,Luxembourg,28
2014,Syrian Arab Rep.,Belgium,25
2014,Eritrea,Netherlands,167
2014,Afghanistan,Norway,24
2014,Iraq,Switzerland,23
2014,Somalia,Canada,364
2014,Syrian Arab Rep.,Germany,3183
2014,Dem. Rep. of the Congo,USA,4481
2014,Iraq,Canada,2203
2014,Somalia,Sweden,237
2014,Syrian Arab Rep.,New Zealand,1
2014,Syrian Arab Rep.,Brazil,1
2014,Bhutan,USA,7335
2014,Afghanistan,Canada,317
2014,Iraq,New Zealand,18
2014,Dem. Rep. of the Congo,UK,202
2014,Iraq,Denmark,1
2014,Eritrea,Norway,192
2014,Iran (Islamic Rep. of),Albania,278
2014,Iraq,Finland,14
2014,Somalia,Norway,93
2014,Syrian Arab Rep.,Switzerland,114
2014,Eritrea,USA,1167
2014,Myanmar,USA,15358
2014,Syrian Arab Rep.,Norway,786
2014,Syrian Arab Rep.,Austria,243
2014,Iran (Islamic Rep. of),Finland,81
2014,Afghanistan,Brazil,1
2014,Bhutan,Canada,410
2014,Dem. Rep. of the Congo,Canada,688
2014,Myanmar,Germany,16
2014,Dem. Rep. of the Congo,Belgium,6
2014,Dem. Rep. of the Congo,Netherlands,41
2014,Eritrea,Denmark,5
2014,Iran (Islamic Rep. of),Sweden,7
2014,Iraq,Sweden,7
2014,Myanmar,Sweden,10
2014,Syrian Arab Rep.,Uruguay,42
2014,Eritrea,Sweden,276
2014,Myanmar,Australia,1628
2014,Syrian Arab Rep.,Finland,436
2014,Iran (Islamic Rep. of),Germany,6
2014,Somalia,Australia,237
2014,Bhutan,Australia,540
2014,Myanmar,New Zealand,162
2014,Bhutan,Denmark,27
2014,Dem. Rep. of the Congo,Sweden,203
2014,Dem. Rep. of the Congo,Norway,64
2014,Somalia,Denmark,12
2014,Syrian Arab Rep.,Australia,409
2014,Iraq,Norway,2
2014,Sudan,USA,458
2014,Syrian Arab Rep.,Denmark,9
2014,Iraq,USA,7432
2014,Myanmar,Canada,395
2015,Myanmar,Sweden,6
2015,Afghanistan,USA,1205
2015,Syrian Arab Rep.,Italy,96
2015,Myanmar,Canada,363
2015,Somalia,Finland,25
2015,Iraq,Sweden,48
2015,Dem. Rep. of the Congo,Norway,187
2015,Bhutan,USA,5558
2015,Eritrea,Germany,177
2015,Iran (Islamic Rep. of),Australia,222
2015,Sudan,Sweden,17
2015,Syrian Arab Rep.,Switzerland,548
2015,Iran (Islamic Rep. of),Canada,374
2015,Iraq,Switzerland,89
2015,Eritrea,New Zealand,2
2015,Iraq,USA,4119
2015,Iran (Islamic Rep. of),Albania,483
2015,Iran (Islamic Rep. of),USA,1190
2015,Syrian Arab Rep.,Belarus,14
2015,Somalia,Norway,41
2015,Syrian Arab Rep.,Iceland,12
2015,Sudan,USA,1519
2015,Iraq,Norway,4
2015,Dem. Rep. of the Congo,Australia,363
2015,Bhutan,Canada,398
2015,Eritrea,UK,17
2015,Iraq,Australia,1159
2015,Syrian Arab Rep.,USA,2187
2015,Syrian Arab Rep.,Ireland,145
2015,Syrian Arab Rep.,Brazil,2
2015,Dem. Rep. of the Congo,Ireland,2
2015,Iraq,Germany,55
2015,Iran (Islamic Rep. of),Sweden,5
2015,Iraq,Canada,2001
2015,Myanmar,Australia,1180
2015,Somalia,Denmark,16
2015,Syrian Arab Rep.,Hungary,2
2015,Sudan,Germany,123
2015,Iraq,UK,4
2015,Dem. Rep. of the Congo,Sweden,217
2015,Bhutan,Australia,312
2015,Eritrea,Canada,608
2015,Afghanistan,Norway,239
2015,Syrian Arab Rep.,Germany,1627
2015,Somalia,UK,163
2015,Somalia,Australia,281
2015,Myanmar,Rep. of Korea,22
2015,Somalia,Austria,21
2015,Myanmar,Norway,5
2015,Iraq,New Zealand,49
2015,Iran (Islamic Rep. of),Netherlands,2
2015,Dem. Rep. of the Congo,UK,157
2015,Myanmar,New Zealand,233
2015,Dem. Rep. of the Congo,New Zealand,4
2015,Sudan,UK,68
2015,Iraq,Denmark,1
2015,Syrian Arab Rep.,Canada,3061
2015,Bhutan,New Zealand,53
2015,Eritrea,Australia,168
2015,Afghanistan,Finland,134
2015,Syrian Arab Rep.,Finland,372
2015,Somalia,Sweden,332
2015,Eritrea,Netherlands,11
2015,Iran (Islamic Rep. of),Finland,18
2015,Somalia,USA,7074
2015,Syrian Arab Rep.,UK,1208
2015,Dem. Rep. of the Congo,Canada,547
2015,Myanmar,Japan,19
2015,Sudan,Finland,212
2015,Syrian Arab Rep.,Norway,1669
2015,Sudan,Denmark,11
2015,Bhutan,Norway,10
2015,Eritrea,Portugal,4
2015,Afghanistan,Sweden,213
2015,Syrian Arab Rep.,Sweden,677
2015,Iraq,Ireland,31
2015,Iraq,Netherlands,3
2015,Eritrea,Norway,16
2015,Iran (Islamic Rep. of),Switzerland,3
2015,Somalia,Germany,53
2015,Syrian Arab Rep.,Australia,167
2015,Dem. Rep. of the Congo,Belgium,88
2015,Sudan,New Zealand,3
2015,Afghanistan,Australia,1061
2015,Sudan,Australia,18
2015,Syrian Arab Rep.,Austria,621
2015,Sudan,Norway,20
2015,Bhutan,Netherlands,1
2015,Eritrea,Finland,7
2015,Afghanistan,France,16
2015,Syrian Arab Rep.,New Zealand,67
2015,Syrian Arab Rep.,France,587
2015,Iraq,Finland,23
2015,Afghanistan,Canada,365
2015,Iraq,Romania,2
2015,Somalia,New Zealand,34
2015,Syrian Arab Rep.,Denmark,145
2015,Dem. Rep. of the Congo,Netherlands,74
2015,Dem. Rep. of the Congo,Finland,151
2015,Dem. Rep. of the Congo,USA,8645
2015,Afghanistan,New Zealand,151
2015,Sudan,Portugal,8
2015,Syrian Arab Rep.,Spain,92
2015,Sudan,Canada,81
2015,Afghanistan,UK,4
2015,Eritrea,France,18
2015,Afghanistan,Denmark,14
2015,Syrian Arab Rep.,Portugal,27
2015,Sudan,France,6
2015,Myanmar,USA,16675
2015,Syrian Arab Rep.,Luxembourg,49
2015,Somalia,Canada,355
2015,Syrian Arab Rep.,Netherlands,236
2015,Dem. Rep. of the Congo,Denmark,264
2015,Dem. Rep. of the Congo,France,2
2015,Eritrea,USA,1457
2015,Afghanistan,Germany,5
2015,Sudan,Netherlands,6
2015,Syrian Arab Rep.,Belgium,188
2015,Somalia,France,10
2015,Somalia,Netherlands,1
2015,Eritrea,Sweden,48
2015,Afghanistan,Netherlands,5
2016,Afghanistan,France,1
2016,Somalia,Sweden,219
2016,Syrian Arab Rep.,UK,4271
2016,Syrian Arab Rep.,Monaco,6
2016,Myanmar,Norway,1
2016,Syrian Arab Rep.,New Zealand,383
2016,Syrian Arab Rep.,Portugal,12
2016,Syrian Arab Rep.,Australia,1621
2016,Dem. Rep. of the Congo,Denmark,24
2016,Bhutan,Netherlands,2
2016,Myanmar,Canada,382
2016,Eritrea,Canada,447
2016,Iraq,Czechia,22
2016,Afghanistan,Canada,282
2016,Eritrea,Finland,4
2016,Eritrea,Netherlands,2
2016,Afghanistan,UK,3
2016,Somalia,USA,9916
2016,Syrian Arab Rep.,Netherlands,582
2016,Syrian Arab Rep.,Spain,288
2016,Myanmar,USA,10933
2016,Dem. Rep. of the Congo,Ireland,2
2016,Dem. Rep. of the Congo,Finland,196
2016,Bhutan,Norway,4
2016,Myanmar,New Zealand,155
2016,Eritrea,UK,31
2016,Iraq,France,5
2016,Eritrea,Norway,7
2016,Sudan,France,5
2016,Iran (Islamic Rep. of),Netherlands,2
2016,Sudan,Australia,7
2016,Syrian Arab Rep.,Sweden,700
2016,Syrian Arab Rep.,Switzerland,574
2016,Afghanistan,Australia,912
2016,Dem. Rep. of the Congo,Netherlands,26
2016,Dem. Rep. of the Congo,France,12
2016,Bhutan,New Zealand,58
2016,Myanmar,Sweden,11
2016,Eritrea,USA,1805
2016,Iraq,Ireland,15
2016,Somalia,Australia,186
2016,Iraq,UK,159
2016,Syrian Arab Rep.,Estonia,11
2016,Sudan,Canada,155
2016,Iran (Islamic Rep. of),France,15
2016,Bhutan,USA,5577
2016,Afghanistan,New Zealand,93
2016,Iran (Islamic Rep. of),Sweden,12
2016,Dem. Rep. of the Congo,UK,204
2016,Sudan,Netherlands,2
2016,Afghanistan,Finland,130
2016,Iraq,Canada,614
2016,Syrian Arab Rep.,Belgium,448
2016,Iraq,Netherlands,13
2016,Sudan,Norway,8
2016,Eritrea,France,12
2016,Iraq,Italy,7
2016,Syrian Arab Rep.,Hungary,4
2016,Sudan,Denmark,5
2016,Iran (Islamic Rep. of),USA,1786
2016,Myanmar,Japan,18
2016,Iran (Islamic Rep. of),Canada,198
2016,Dem. Rep. of the Congo,USA,19502
2016,Somalia,Ireland,1
2016,Dem. Rep. of the Congo,Norway,8
2016,Eritrea,Germany,20
2016,Afghanistan,Norway,207
2016,Iraq,USA,5222
2016,Syrian Arab Rep.,Canada,17015
2016,Iraq,Sweden,99
2016,Eritrea,Sweden,269
2016,Syrian Arab Rep.,Austria,80
2016,Syrian Arab Rep.,Lithuania,25
2016,Sudan,Finland,29
2016,Dem. Rep. of the Congo,Australia,514
2016,Bhutan,Australia,547
2016,Iran (Islamic Rep. of),New Zealand,8
2016,Sudan,USA,1365
2016,Somalia,Netherlands,3
2016,Dem. Rep. of the Congo,Sweden,328
2016,Eritrea,Italy,48
2016,Afghanistan,Sweden,16
2016,Somalia,France,4
2016,Somalia,Denmark,9
2016,Syrian Arab Rep.,Denmark,245
2016,Syrian Arab Rep.,Germany,1183
2016,Syrian Arab Rep.,Iceland,56
2016,Iran (Islamic Rep. of),Australia,223
2016,Syrian Arab Rep.,Italy,473
2016,Syrian Arab Rep.,Luxembourg,52
2016,Sudan,UK,108
2016,Dem. Rep. of the Congo,Belgium,4
2016,Bhutan,Canada,108
2016,Iraq,Australia,1102
2016,Syrian Arab Rep.,USA,14880
2016,Somalia,New Zealand,5
2016,Somalia,Canada,294
2016,Iraq,Switzerland,90
2016,Iran (Islamic Rep. of),Norway,12
2016,Myanmar,Denmark,7
2016,Somalia,Finland,10
2016,Syrian Arab Rep.,Finland,549
2016,Syrian Arab Rep.,France,1230
2016,Syrian Arab Rep.,Ireland,341
2016,Myanmar,Australia,1693
2016,Syrian Arab Rep.,Norway,2895
2016,Syrian Arab Rep.,Latvia,6
2016,Sudan,Sweden,34
2016,Dem. Rep. of the Congo,Canada,1091
2016,Bhutan,Denmark,1
2016,Iraq,New Zealand,36
2016,Eritrea,Australia,162
2016,Iraq,Denmark,3
2016,Afghanistan,USA,2900
2016,Eritrea,Austria,1
2016,Myanmar,Rep. of Korea,34
2016,Somalia,UK,110
2017,Eritrea,France,44
2017,Syrian Arab Rep.,Romania,43
2017,Syrian Arab Rep.,Iceland,47
2017,Afghanistan,Sweden,203
2017,Sudan,USA,582
2017,Afghanistan,New Zealand,119
2017,Myanmar,Norway,6
2017,Afghanistan,Finland,51
2017,Iraq,USA,1844
2017,Syrian Arab Rep.,Croatia,40
2017,Sudan,New Zealand,3
2017,Dem. Rep. of the Congo,Norway,47
2017,Eritrea,Australia,136
2017,Iran (Islamic Rep. of),Germany,4
2017,Iran (Islamic Rep. of),UK,10
2017,Eritrea,Italy,78
2017,Syrian Arab Rep.,Spain,1062
2017,Syrian Arab Rep.,Ireland,261
2017,Dem. Rep. of the Congo,Belgium,118
2017,Syrian Arab Rep.,Australia,134
2017,Iran (Islamic Rep. of),Sweden,1
2017,Dem. Rep. of the Congo,Canada,1022
2017,Myanmar,New Zealand,170
2017,Sudan,Australia,29
2017,Syrian Arab Rep.,Canada,4137
2017,Syrian Arab Rep.,Italy,832
2017,Eritrea,UK,16
2017,Somalia,USA,2394
2017,Iraq,Germany,9
2017,Iran (Islamic Rep. of),Luxembourg,1
2017,Iran (Islamic Rep. of),Netherlands,5
2017,Sudan,Norway,10
2017,Iraq,France,8
2017,Syrian Arab Rep.,Denmark,5
2017,Eritrea,USA,1676
2017,Syrian Arab Rep.,Austria,379
2017,Bhutan,Australia,510
2017,Dem. Rep. of the Congo,USA,5297
2017,Myanmar,USA,3370
2017,Eritrea,Norway,7
2017,Syrian Arab Rep.,Finland,972
2017,Syrian Arab Rep.,Lithuania,58
2017,Iraq,Ireland,12
2017,Somalia,Norway,13
2017,Somalia,Germany,7
2017,Sudan,Germany,119
2017,Iran (Islamic Rep. of),USA,669
2017,Sudan,Sweden,50
2017,Sudan,France,40
2017,Eritrea,Netherlands,2
2017,Somalia,UK,263
2017,Syrian Arab Rep.,Belgium,1170
2017,Bhutan,Canada,59
2017,Somalia,Canada,235
2017,Somalia,Australia,102
2017,Sudan,Finland,8
2017,Syrian Arab Rep.,Norway,2670
2017,Syrian Arab Rep.,Luxembourg,179
2017,Iraq,Italy,3
2017,Eritrea,Sweden,479
2017,Sudan,Portugal,5
2017,Iraq,Australia,314
2017,Iran (Islamic Rep. of),France,1
2017,Afghanistan,Australia,898
2017,Dem. Rep. of the Congo,UK,291
2017,Iran (Islamic Rep. of),Canada,127
2017,Syrian Arab Rep.,Estonia,19
2017,Bhutan,New Zealand,26
2017,Dem. Rep. of the Congo,France,18
2017,Somalia,New Zealand,14
2017,Dem. Rep. of the Congo,New Zealand,8
2017,Syrian Arab Rep.,USA,2927
2017,Syrian Arab Rep.,Latvia,40
2017,Iraq,Monaco,23
2017,Afghanistan,Canada,40
2017,Somalia,Slovakia,4
2017,Iraq,Finland,2
2017,Afghanistan,France,2
2017,Myanmar,Australia,1084
2017,Somalia,Finland,13
2017,Iraq,Canada,765
2017,Syrian Arab Rep.,France,2279
2017,Bhutan,USA,3364
2017,Dem. Rep. of the Congo,Finland,34
2017,Syrian Arab Rep.,New Zealand,312
2017,Iran (Islamic Rep. of),Finland,1
2017,Afghanistan,UK,35
2017,Syrian Arab Rep.,Malta,17
2017,Iraq,Netherlands,6
2017,Sudan,UK,282
2017,Somalia,Sweden,73
2017,Iraq,Luxembourg,2
2017,Sudan,Canada,100
2017,Myanmar,Canada,102
2017,Iraq,Norway,6
2017,Iraq,UK,333
2017,Syrian Arab Rep.,UK,4850
2017,Iran (Islamic Rep. of),New Zealand,42
2017,Dem. Rep. of the Congo,Sweden,527
2017,Iraq,Sweden,25
2017,Eritrea,Germany,14
2017,Afghanistan,USA,702
2017,Syrian Arab Rep.,Netherlands,2221
2017,Syrian Arab Rep.,Portugal,156
2017,Syrian Arab Rep.,Chile,66
