Year,Country of Asylum,Origin,Refugees,Asylum-seekers,Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
2017,Saudi Arabia,Syrian Arab Rep.,14,34,,,,,,48
2017,Sudan,Syrian Arab Rep.,11240,439,,,,,,11679
2017,Somalia,Syrian Arab Rep.,172,4,,,,,,176
2017,South Sudan,Syrian Arab Rep.,1,1,,,,,,2
2017,Slovenia,Syrian Arab Rep.,215,9,,,,,,224
2017,Sweden,Syrian Arab Rep.,103614,3531,,,,,,107145
2017,Chad,Syrian Arab Rep.,39,29,,,,,,68
2017,Thailand,Syrian Arab Rep.,327,9,,,,,,336
2017,Trinidad and Tobago,Syrian Arab Rep.,53,32,,,,,,85
2017,Turkey,Syrian Arab Rep.,3424237,163,,,,,,3424400
2017,Uganda,Syrian Arab Rep.,7,12,,,,,,19
2017,Ukraine,Syrian Arab Rep.,483,520,,,,,,1003
2017,Uruguay,Syrian Arab Rep.,61,1,,,,,,62
2017,USA,Syrian Arab Rep.,7282,3358,,,,,,10640
2017,Yemen,Syrian Arab Rep.,3286,496,,,,,,3782
2018,Albania,Syrian Arab Rep.,6,44,,,,,,50
2018,United Arab Emirates,Syrian Arab Rep.,287,5820,,,,,10,6117
2018,Argentina,Syrian Arab Rep.,385,95,,,,,410,890
2018,Armenia,Syrian Arab Rep.,14701,8,,,,,,14709
2018,Australia,Syrian Arab Rep.,582,102,,,,,,684
2018,Austria,Syrian Arab Rep.,49179,1538,,,,,,50717
2018,Belgium,Syrian Arab Rep.,9080,2005,,,,,,11085
2018,Bulgaria,Syrian Arab Rep.,17161,215,,,,,,17376
2018,Bosnia and Herzegovina,Syrian Arab Rep.,15,67,,,,,,82
2018,Belarus,Syrian Arab Rep.,66,5,,,,,,71
2018,Bolivia (Plurinational State of),Syrian Arab Rep.,21,8,,,,,,29
2018,Brazil,Syrian Arab Rep.,3455,4270,,,,,,7725
2018,Canada,Syrian Arab Rep.,3558,803,,,,,,4361
2018,Switzerland,Syrian Arab Rep.,16565,1789,,,,,,18354
2018,Chile,Syrian Arab Rep.,107,36,,,,,,143
2018,China,Syrian Arab Rep.,53,19,,,,,,72
2018,Côte d'Ivoire,Syrian Arab Rep.,92,8,,,,,,100
2018,Cameroon,Syrian Arab Rep.,22,6,,,,,,28
2018,Congo,Syrian Arab Rep.,12,19,,,,,*,33
2018,Colombia,Syrian Arab Rep.,8,8,,,,,,16
2018,Costa Rica,Syrian Arab Rep.,9,12,,,,,,21
2018,Cyprus,Syrian Arab Rep.,6259,2554,,,,,6000,14813
2018,Czech Rep.,Syrian Arab Rep.,448,8,,,,,,456
2018,Germany,Syrian Arab Rep.,532065,52396,,,,,,584461
2018,Denmark,Syrian Arab Rep.,19698,292,,,,,,19990
2018,Algeria,Syrian Arab Rep.,14,7485,,,,,,7499
2018,Ecuador,Syrian Arab Rep.,102,90,,,,,,192
2018,Spain,Syrian Arab Rep.,13765,2320,,,,,,16085
2018,Ethiopia,Syrian Arab Rep.,9,70,,,,,,79
2018,Finland,Syrian Arab Rep.,2497,73,,,,,,2570
2018,France,Syrian Arab Rep.,15822,3352,,,,,,19174
2018,United Kingdom,Syrian Arab Rep.,9720,685,,,,,,10405
2018,Georgia,Syrian Arab Rep.,428,24,,,,,,452
2018,Ghana,Syrian Arab Rep.,157,85,,,,,,242
2018,Greece,Syrian Arab Rep.,23931,14104,,,,,,38035
2018,Croatia,Syrian Arab Rep.,398,29,,,,,,427
2018,Hungary,Syrian Arab Rep.,971,5,,,,,,976
2018,Indonesia,Syrian Arab Rep.,29,18,,,,,,47
2018,India,Syrian Arab Rep.,83,17,,,,,,100
2018,Ireland,Syrian Arab Rep.,2126,67,,,,,,2193
2018,Iceland,Syrian Arab Rep.,87,30,,,,,,117
2018,Italy,Syrian Arab Rep.,4652,1197,,,,,,5849
2018,Kazakhstan,Syrian Arab Rep.,15,14,,,,,,29
2018,Kyrgyzstan,Syrian Arab Rep.,77,14,,,,,,91
2018,Rep. of Korea,Syrian Arab Rep.,1177,59,,,,,,1236
2018,Kuwait,Syrian Arab Rep.,73,50,,,,,,123
2018,Lebanon,Syrian Arab Rep.,944181,5,,,,,2033,946219
2018,Libya,Syrian Arab Rep.,552,23173,,,,,,23725
2018,Lithuania,Syrian Arab Rep.,435,10,,,,,,445
2018,Luxembourg,Syrian Arab Rep.,686,160,,,,,,846
2018,Mali,Syrian Arab Rep.,9,330,,,,,,339
2018,Malta,Syrian Arab Rep.,1497,370,,,,,,1867
2018,Mauritania,Syrian Arab Rep.,332,47,,,,,,379
2018,Malaysia,Syrian Arab Rep.,421,2407,,,,,,2828
2018,Nigeria,Syrian Arab Rep.,224,75,,,,,,299
2018,Netherlands,Syrian Arab Rep.,32092,1687,,,,,,33779
2018,Norway,Syrian Arab Rep.,13914,235,,,,,,14149
2018,Pakistan,Syrian Arab Rep.,29,6,,,,,,35
2018,Peru,Syrian Arab Rep.,44,7,,,,,,51
2018,Philippines,Syrian Arab Rep.,105,33,,,,,,138
2018,Poland,Syrian Arab Rep.,531,20,,,,,,551
2018,Paraguay,Syrian Arab Rep.,63,21,,,,,,84
2018,Romania,Syrian Arab Rep.,2292,150,,,,,,2442
2018,Russian Federation,Syrian Arab Rep.,828,174,,,,,,1002
2018,Saudi Arabia,Syrian Arab Rep.,103,2063,,,,,,2166
2018,Somalia,Syrian Arab Rep.,206,14,,,,,,220
2018,Slovenia,Syrian Arab Rep.,290,23,,,,,,313
2018,Sweden,Syrian Arab Rep.,109343,2353,,,,,,111696
2018,Chad,Syrian Arab Rep.,57,14,,,,,,71
2018,Thailand,Syrian Arab Rep.,276,7,,,,,,283
2018,Trinidad and Tobago,Syrian Arab Rep.,57,37,,,,,,94
2018,Turkey,Syrian Arab Rep.,3622366,112,,,,,,3622478
2018,Ukraine,Syrian Arab Rep.,457,489,,,,,,946
2018,USA,Syrian Arab Rep.,7998,3057,,,,,,11055
2018,Yemen,Syrian Arab Rep.,3446,406,,,,,,3852
2018,South Africa,Syrian Arab Rep.,45,7,,,,,,52
2018,Zambia,Syrian Arab Rep.,8,9,,,,,,17
